Date,Close,Returns,Log Returns
2024-06-06,11.032,0.987,-0.013333593841248763
2024-06-07,10.764,0.976,-0.02462963646209589
2024-06-10,10.625,0.987,-0.01298172675068763
2024-06-11,10.523,0.99,-0.009627948770911176
2024-06-12,10.912,1.037,0.03627331247269241
2024-06-13,11.042,1.012,0.011804577968845362
2024-06-14,11.875,1.075,0.07272995450055103
2024-06-17,12.347,1.04,0.038980965771716655
2024-06-18,12.43,1.007,0.0067239243814404
2024-06-20,12.56,1.01,0.010370435663900392
2024-06-21,12.634,1.006,0.005878075375714091
2024-06-24,12.347,0.977,-0.0229724354210549
2024-06-25,12.282,0.995,-0.005261216590555381
2024-06-26,12.18,0.992,-0.008324039687418617
2024-06-27,11.976,0.983,-0.016858638397637626
2024-06-28,12.176,1.017,0.016542421099373088
2024-07-01,11.9,0.977,-0.022916864665714937
2024-07-02,12.167,1.022,0.02213528979613301
2024-07-03,12.167,1.0,0.0
2024-07-05,12.366,1.016,0.016285760200581673
2024-07-08,12.481,1.009,0.00918842534906048
2024-07-09,12.585,1.008,0.008349175031314288
2024-07-10,12.947,1.029,0.02831780011901177
2024-07-11,13.831,1.068,0.06609867150159777
2024-07-12,14.107,1.02,0.019748767872276602
2024-07-15,14.212,1.007,0.007389938803997441
2024-07-16,14.65,1.031,0.03032529616299204
2024-07-17,14.868,1.015,0.014824747261392181
2024-07-18,14.336,0.964,-0.03648619414884058
2024-07-19,14.288,0.997,-0.0033233828229314076
2024-07-22,14.355,1.005,0.00464967611655717
2024-07-23,14.573,1.015,0.015126808486684563
2024-07-24,13.927,0.956,-0.04540151882144866
2024-07-25,13.993,1.005,0.004769940237137065
2024-07-26,14.259,1.019,0.01885577654638098
2024-07-29,14.174,0.994,-0.0060221156811088
2024-07-30,14.288,1.008,0.008021433115797578
2024-07-31,13.898,0.973,-0.027676368172181644
2024-08-01,13.556,0.975,-0.024949316881016075
2024-08-02,13.375,0.987,-0.013423001317796576
2024-08-05,12.852,0.961,-0.039903711504530905
2024-08-06,12.985,1.01,0.010309258158671009
2024-08-07,13.898,1.07,0.0679667715446725
2024-08-08,13.898,1.0,0.0
2024-08-09,13.822,0.995,-0.005490747708155586
2024-08-12,13.565,0.981,-0.01875704338710584
2024-08-13,13.708,1.011,0.010463906962650484
2024-08-14,13.812,1.008,0.007604651037098311
2024-08-15,14.069,1.019,0.018424249119503636
2024-08-16,14.24,1.012,0.012096954582226477
2024-08-19,14.383,1.01,0.009970154913131388
2024-08-20,14.212,0.988,-0.011976223799779548
2024-08-21,14.279,1.005,0.004674515877399263
2024-08-22,14.155,0.991,-0.00869863235462561
2024-08-23,14.564,1.029,0.028488227483946096
2024-08-26,14.783,1.015,0.014911052932669339
2024-08-27,14.621,0.989,-0.010999803338849853
2024-08-28,14.621,1.0,0.0
2024-08-29,14.745,1.008,0.008422547087232508
2024-08-30,14.726,0.999,-0.0012912527827821563
2024-09-03,14.621,0.993,-0.0071312943044502695
2024-09-04,14.554,0.995,-0.0045646471713545085
2024-09-05,14.659,1.007,0.0071638039677398915
2024-09-06,14.688,1.002,0.0019448788739013423
2024-09-09,14.764,1.005,0.005168034419836463
2024-09-10,14.878,1.008,0.0077021552703815995
2024-09-11,14.659,0.985,-0.014815068564119342
2024-09-12,14.802,1.01,0.009686852526765228
2024-09-13,15.087,1.019,0.01909666463207547
2024-09-16,15.296,1.014,0.013776078284940957
2024-09-17,15.182,0.993,-0.007490671260387073
2024-09-18,15.411,1.015,0.014925711170727557
2024-09-19,15.572,1.01,0.010439101927890906
2024-09-20,15.839,1.017,0.016959823756040215
2024-09-23,15.629,0.987,-0.013301252860296466
2024-09-24,15.61,0.999,-0.001218118456095803
2024-09-25,15.363,0.984,-0.01597088622557363
2024-09-26,15.306,0.996,-0.003721995260651094
2024-09-27,15.401,1.006,0.006195837165621606
2024-09-30,15.411,1.001,0.0006318470879077757
2024-10-01,15.099,0.98,-0.020421876874539557
2024-10-02,14.973,0.992,-0.008416978943483769
